,default_profile,favourites_count,followers_count,friends_count,location,statuses_count,verified,account_age_days,account_type,ratio_statuses_count_per_age,ratio_favorites_per_age,ratio_friends_per_followers,word_count,char_count,reputation,contains_bot_name,description_word_count,description_character_count,avg_word
1003,True,2781,5913,856,True,4037,False,2783,human,1.4505928853754941,0.9992813510600072,0.14476577033654658,18,118,0.8735411434480721,False,19,100,5.2631578947368425
1004,False,1072,14,5,True,5966,False,2966,bot,2.0114632501685774,0.3614295347269049,0.35714285714285715,1,1,0.7368421052631579,False,1,1,1.0
1005,True,58511,204,418,True,16668,False,1275,human,13.072941176470588,45.89098039215686,2.049019607843137,7,28,0.3279742765273312,False,7,22,3.142857142857143
1006,True,28265,1669,686,True,36905,False,2494,human,14.797514033680834,11.333199679230152,0.4110245656081486,2,13,0.7087048832271762,False,2,12,6.0
1007,False,4576,2556480,867,True,2258,True,4002,human,0.5642178910544727,1.1434282858570715,0.0003391381900112655,10,80,0.999660976785708,False,10,71,7.1
1008,True,1530,36,9,True,2070,False,4509,bot,0.4590818363273453,0.3393213572854291,0.25,1,1,0.8,False,1,1,1.0
1009,False,893,21129421,169,True,4148,True,3992,human,1.0390781563126252,0.22369739478957915,7.998326125453225e-06,7,44,0.9999920017378473,False,7,38,5.428571428571429
1010,False,2134,50,0,True,3531,False,3667,bot,0.9629124625034088,0.5819470957185711,0.0,26,131,1.0,False,26,106,4.076923076923077
1011,False,5408,1044,1139,True,3110,False,4127,human,0.7535740247152896,1.3103949600193845,1.0909961685823755,15,152,0.478240952817224,False,20,132,6.6
1012,True,64,0,0,True,178,False,1445,human,0.12318339100346021,0.044290657439446365,2.303236456121974,7,52,0.0,False,7,46,6.571428571428571
1013,False,19659,1185,308,True,101395,False,2453,human,41.33509987770078,8.014268242967795,0.25991561181434597,21,113,0.7937039517749498,False,21,93,4.428571428571429
1014,False,44349,623105,3923,True,40054,True,4218,human,9.49596965386439,10.514224751066857,0.006295889135859927,4,32,0.9937435010876707,False,4,29,7.25
1015,True,3407,128,108,True,5003,False,2533,human,1.9751283063560996,1.3450454007106198,0.84375,1,9,0.5423728813559322,False,1,9,9.0
1016,False,4908,2003,384,True,1142,False,977,human,1.1688843398157625,5.023541453428864,0.19171243135297053,9,135,0.8391286133221617,False,10,126,12.6
1017,False,2260,337,624,True,1694,False,1782,human,0.9506172839506173,1.2682379349046016,1.8516320474777448,21,135,0.3506763787721124,False,21,115,5.476190476190476
1018,True,58,10,74,True,23,False,1554,bot,0.014800514800514801,0.03732303732303732,7.4,7,47,0.11904761904761904,False,6,41,6.833333333333333
1019,True,1219,1,5,True,1839,False,3554,bot,0.5174451322453574,0.3429938097917839,5.0,1,1,0.16666666666666666,False,1,1,1.0
1020,False,809,518691,241,True,24311,True,4404,human,5.520208900999092,0.18369663941871026,0.000464631158049783,9,100,0.9995355846238043,False,11,90,8.181818181818182
1021,True,774,19,0,True,264,False,2424,bot,0.10891089108910891,0.3193069306930693,0.0,1,1,1.0,False,1,1,1.0
1022,False,135,1121758,117,True,363043,True,2778,human,130.68502519798417,0.04859611231101512,0.00010430057106791304,12,62,0.9998957103064067,False,12,51,4.25
1023,True,1111,23,162,True,1079,False,3196,human,0.3376095118898623,0.347622027534418,7.043478260869565,11,48,0.12432432432432433,False,11,38,3.4545454545454546
1024,True,689,22,0,True,904,False,4049,bot,0.22326500370461844,0.1701654729562855,0.0,1,1,1.0,False,1,1,1.0
1025,True,356,1,0,True,713,False,1423,human,0.5010541110330288,0.2501756851721715,0.0,7,41,1.0,False,7,35,5.0
1026,True,83,8,0,True,188,False,1445,human,0.1301038062283737,0.057439446366782006,0.0,7,45,1.0,False,7,39,5.571428571428571
1027,False,2260,831924,163,True,1570,True,2708,human,0.5797636632200887,0.8345642540620384,0.0001959313591145345,8,57,0.9998041070224628,False,8,50,6.25
1028,False,7916,158,353,True,2521,False,2753,human,0.915728296403923,2.8754086451144207,2.2341772151898733,6,39,0.30919765166340507,False,6,34,5.666666666666667
1029,False,149880,1403,4004,True,115655,False,2582,bot,44.79279628195197,58.04802478698683,2.8538845331432645,18,82,0.25947845385611246,False,18,65,3.611111111111111
1030,True,12677,111,178,True,4074,False,1172,human,3.4761092150170647,10.816552901023892,1.6036036036036037,9,52,0.38408304498269896,False,9,44,4.888888888888889
1031,False,25,24458,9350,True,131048,False,3017,bot,43.436526350679486,0.008286377195889956,0.3822880039250961,15,101,0.7234382394699479,False,15,87,5.8
1032,False,1325,2974179,352,True,2750,True,3217,human,0.8548336959900529,0.41187441715884365,0.00011835198890181122,6,44,0.9998816620166339,False,6,39,6.5
1033,True,68,0,0,True,159,False,1445,human,0.11003460207612457,0.047058823529411764,2.303236456121974,5,26,0.0,False,5,22,4.4
1034,True,346,0,20,True,346,False,1411,bot,0.24521615875265768,0.24521615875265768,2.303236456121974,3,14,0.0,False,3,12,4.0
1035,True,18781,794,96,True,25770,False,1855,human,13.892183288409704,10.124528301886793,0.12090680100755667,1,9,0.8921348314606742,False,1,9,9.0
1036,True,74,3,64,True,16,False,2916,bot,0.0054869684499314125,0.025377229080932786,21.333333333333332,8,52,0.04477611940298507,False,8,45,5.625
1037,False,31713,24781,5347,True,115023,True,3596,human,31.986373748609566,8.818965517241379,0.21577014648319276,23,138,0.8225238980350504,False,23,116,5.043478260869565
1038,False,27272,686,1079,True,7616,False,1768,human,4.3076923076923075,15.425339366515837,1.5728862973760933,11,108,0.3886685552407932,False,11,98,8.909090909090908
1039,True,29,0,172,True,518,False,1288,bot,0.40217391304347827,0.02251552795031056,2.303236456121974,6,43,0.0,False,6,38,6.333333333333333
1040,False,0,14894,6,True,14763,False,2673,bot,5.52300785634119,0.0,0.00040284678393984153,3,35,0.9995973154362416,False,3,33,11.0
1041,True,27962,859,882,True,27250,False,2272,human,11.993838028169014,12.307218309859154,1.0267753201396974,7,53,0.49339460080413555,False,6,47,7.833333333333333
1042,False,146449,27782,988,True,8767,True,4207,human,2.0839077727596864,34.810791537913005,0.035562594485638185,21,121,0.9656586722280153,False,20,101,5.05
1043,False,19582,72,144,True,3438,False,2842,human,1.2097114707952146,6.890218156228008,2.0,19,153,0.3333333333333333,False,20,134,6.7
1044,False,5827,207,0,True,25091,False,3526,human,7.115995462280204,1.6525808281338628,0.0,1,1,1.0,False,1,1,1.0
1045,True,4697,207,221,True,6370,False,815,human,7.815950920245399,5.76319018404908,1.067632850241546,16,91,0.48364485981308414,False,16,76,4.75
