default_profile,favourites_count,followers_count,friends_count,id,location,statuses_count,verified,account_age_days,account_type,ratio_statuses_count_per_age,ratio_favorites_per_age,ratio_friends_per_followers,word_count,char_count,reputation,contains_bot_name,description_word_count,description_character_count,avg_word
False,56,3,0,227019467,True,112,False,3534,bot,0.03169213355970572,0.01584606677985286,0.0,16,74,1.0,False,16,59,3.6875
False,16516,40123,2713,92544265,True,22127,True,3919,human,5.646083184485838,4.2143403929573875,0.06761707748672831,17,108,0.9366654216079933,False,17,92,5.411764705882353
True,942,21,46,734035576068788225,True,366,False,1550,bot,0.2361290322580645,0.607741935483871,2.1904761904761907,1,5,0.31343283582089554,False,1,5,5.0
False,15031,3668,3696,248259880,True,15638,False,3481,human,4.492387245044528,4.31801206549842,1.0076335877862594,24,153,0.49809885931558934,False,23,130,5.6521739130434785
False,5062,57,411,226757393,True,896,False,3535,human,0.25346534653465347,1.431966053748232,7.2105263157894735,10,50,0.12179487179487179,False,10,41,4.1
True,769,5,57,18359142,True,1225,False,4255,bot,0.2878965922444183,0.18072855464159812,11.4,1,1,0.08064516129032258,False,1,1,1.0
True,96,4,28,354162350,True,14,False,3294,bot,0.004250151791135397,0.029143897996357013,7.0,1,1,0.125,False,1,1,1.0
False,26820,208,225,443030647,True,4988,False,3163,human,1.576983876067025,8.479291811571294,1.0817307692307692,6,30,0.48036951501154734,False,6,25,4.166666666666667
False,30377,105389,757,35916009,True,33458,True,4131,human,8.09924957637376,7.353425320745582,0.007182912827714468,16,94,0.9928683134550524,False,16,79,4.9375
False,2926,2494,2395,119802157,True,11134,False,3820,human,2.9146596858638745,0.7659685863874346,0.9603047313552526,17,117,0.5101247698915934,False,17,101,5.9411764705882355
True,2241,11,0,796252778066743296,True,3089,False,1379,bot,2.2400290065264685,1.6250906453952139,0.0,10,44,1.0,False,10,35,3.5
False,1860,579326,476,193205108,True,81717,False,3620,human,22.57375690607735,0.5138121546961326,0.0008216444627032102,1,1,0.9991790300826834,False,1,1,1.0
True,948,47,177,938598744747941888,True,2036,False,986,human,2.0649087221095335,0.9614604462474645,3.765957446808511,10,69,0.20982142857142858,False,11,59,5.363636363636363
True,0,5,0,928314603376742400,True,1763,False,1014,bot,1.7386587771203157,0.0,0.0,1,1,1.0,False,1,1,1.0
True,2234,34,0,298585488,True,3365,False,3384,bot,0.9943853427895981,0.6601654846335697,0.0,9,52,1.0,False,9,44,4.888888888888889
False,17515,606920,676,15736267,True,46570,True,4396,human,10.593721565059145,3.984303912647862,0.001113820602385817,12,109,0.9988874186136841,False,12,98,8.166666666666666
False,6,265107,609,87302683,True,20684,True,3941,human,5.2484141080943925,0.0015224562293834052,0.0022971856646561576,15,121,0.9977080793027142,False,16,106,6.625
True,2368,19,0,1252265444,True,3227,False,2720,bot,1.1863970588235293,0.8705882352941177,0.0,1,1,1.0,False,1,1,1.0
False,5960,110,100,46928242,True,19641,False,4084,human,4.809255631733595,1.4593535749265425,0.9090909090909091,6,44,0.5238095238095238,False,7,37,5.285714285714286
False,253,317,413,2918711542,True,3110,False,2076,bot,1.498073217726397,0.12186897880539499,1.3028391167192428,12,58,0.43424657534246575,False,12,47,3.9166666666666665
True,2183,636,949,538446976,True,13314,False,3066,human,4.342465753424658,0.7120026092628833,1.4921383647798743,1,23,0.40126182965299684,False,1,23,23.0
False,329,6,0,178260000,True,437,False,3658,bot,0.11946418808091853,0.08993985784581739,0.0,1,1,1.0,False,1,1,1.0
True,6,290677,339,82843602,True,8962,False,3960,human,2.2631313131313133,0.0015151515151515152,0.0011662429431981201,18,101,0.9988351155950188,False,18,84,4.666666666666667
True,45,5,0,772475576779214848,True,105,False,1444,human,0.07271468144044321,0.031163434903047092,0.0,1,3,1.0,False,1,3,3.0
True,9525,66,972,544214527,True,3402,False,3059,bot,1.1121281464530892,3.113762667538411,14.727272727272727,1,1,0.06358381502890173,False,1,1,1.0
False,6002,76,1681,482610286,True,566,False,3119,human,0.18146841936518116,1.9243347226675216,22.11842105263158,1,1,0.043255549231644846,False,1,1,1.0
False,1497,21046,3025,596377986,True,4616,True,3001,human,1.538153948683772,0.49883372209263577,0.14373277582438468,19,155,0.8743301067674796,False,19,137,7.2105263157894735
