,default_profile,favourites_count,followers_count,friends_count,id,statuses_count,verified,account_age_days,account_type,ratio_statuses_count_per_age,ratio_favorites_per_age,ratio_friends_per_followers,word_count,char_count,reputation,contains_bot_name,description_word_count,description_character_count,avg_word
617,0.0,0.4166161634668779,2.410860482877032e-05,0.004140741776554713,159387080,0.07738346483110924,0.0,68.95074946466809,bot,0.5784789644012945,0.39859762675296656,6.1,1,1,14.084507042253522,False,1,1,0.0
618,0.0,0.00028187832440248843,2.6519465311647352e-05,0.0006788101273040514,1037140892337954822,0.01136400532484821,0.0,4.839400428265524,human,0.4411764705882353,0.0014005602240896359,0.9090909090909091,16,104,52.38095238095239,False,16,89,4.185779816513762
619,100.0,0.21648255314111112,0.017314799988022843,0.10772716720315295,20453211,0.8422351375044644,100.0,79.65738758029978,human,5.548003802281369,0.18250950570342206,0.220969089390142,12,108,81.90215531987684,False,12,97,6.498470948012233
620,0.0,0.16320754982904082,1.6876023380139224e-05,0.0,160966590,0.02979894729626864,0.0,68.84368308351178,bot,0.22306238185255198,0.15635970834458546,0.0,1,1,100.0,False,1,1,0.0
621,100.0,2.993547805154427,0.0022131699232811153,0.10066754187919082,847586905977790464,0.5758484222070702,0.0,16.03854389721627,human,12.903799514955537,8.585286984640259,1.6154684095860568,16,151,38.23406913785923,False,17,134,6.314085267134377
622,0.0,0.18068400594199507,0.18320128809382566,3.1698396514717286,193732179,0.22406932404010232,100.0,67.02355460385438,human,1.716694306246545,0.1771697070204533,0.6145150677720753,19,134,61.93810265146267,False,19,116,4.683727667793337
623,100.0,26.064161144200497,0.0004460091893322509,0.014526536724306698,2334131662,1.1095959104011315,0.0,40.55674518201285,bot,12.912258606213266,38.81863979848867,1.1567567567567567,1,1,46.365914786967416,False,1,1,0.0
624,0.0,0.23283149595645544,0.7077153273300014,0.03529812661981067,78385842,0.23088772723501125,100.0,74.68950749464668,human,1.6096579476861168,0.20774647887323944,0.001771400735131305,9,51,99.82317315768535,False,9,43,3.465851172273191
625,0.0,1.594585681144877,0.19905028490825927,2.2231710479334983,76289403,4.419155023070735,0.0,74.86081370449678,human,30.746736947791163,1.419929718875502,0.3966740952473233,17,117,71.59866452759832,False,17,101,4.5331894225580145
626,0.0,4.697502276167469,0.240854605681347,5.048718202836612,308287890,4.32059482450729,0.0,61.67023554603854,bot,35.55908551068884,4.948040380047506,0.7444746957078796,5,22,57.32384668349781,False,5,18,2.385321100917431
627,0.0,9.82430524039993,0.00037368337484593997,0.034619316492506616,418389089,0.1335541197225018,0.0,57.92291220556744,human,1.1594112120263076,10.915440025054808,3.2903225806451615,4,73,23.308270676691727,False,5,69,11.743119266055047
628,0.0,14.481780794502246,0.03201863807308986,0.12612292165309275,15729017,1.9690754750334607,0.0,83.70449678800856,human,12.413236297475551,11.684330225153515,0.1398991039831338,24,160,87.72706255366933,False,24,137,4.319571865443425
629,0.0,4.061866654639858,0.004062299913647799,0.04520875447844982,5507572,1.2371253034910947,0.0,93.70449678800856,human,7.050164473684211,2.9625822368421053,0.39525222551928785,5,22,71.67162909400255,False,5,18,2.385321100917431
